Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
Kaiju N.° 8 Vol. 6,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/kaiju-n-8-vol-6
O Paraíso Ilusório Vol. 3,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/o-paraiso-ilusorio-vol-3
Kemono Jihen - Incidentes Sobrenaturais Vol. 5,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kemono-jihen-incidentes-sobrenaturais-vol-5
Horimiya Vol. 15,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/horimiya-vol-15
Hanako-Kun E Os Mistérios Do Colégio Kamome Vol. 18,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/hanako-kun-e-os-misterios-do-colegio-kamome-vol-18
Blue Period Vol. 10,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/blue-period-vol-10
The Promised Neverland Vol. 20,"R$ 33,90","R$ 16,95",Disponível,Não,https://panini.com.br/the-promised-neverland-vol-20-amapf020r
The Promised Neverland Vol. 19,"R$ 33,90","R$ 16,95",Disponível,Não,https://panini.com.br/the-promised-neverland-vol-19-amapf019r
The Promised Neverland Vol. 18,"R$ 33,90","R$ 16,95",Disponível,Não,https://panini.com.br/the-promised-neverland-vol-18-amapf018r
The Promised Neverland Vol. 17,"R$ 33,90","R$ 16,95",Disponível,Não,https://panini.com.br/the-promised-neverland-vol-17-amapf017r
Wotakoi: O Amor é Difícil Para Otakus Vol. 4,"R$ 29,90","R$ 19,44",Avise-me,Não,https://panini.com.br/wotakoi-o-amor-e-dificil-para-otakus-vol-4-amaer004r2
Slam Dunk Vol. 23,"R$ 34,90","R$ 17,45",Disponível,Não,https://panini.com.br/slam-dunk-vol-23-amabr023r
Diário De Uma Cidade Litorânea Vol. 7,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/diario-de-uma-cidade-litoranea-vol-7
Missão: Família Yozakura Vol. 8,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-8
Takagi: A Mestra Das Pegadinhas Vol. 18,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/takagi-a-mestra-das-pegadinhas-vol-18
Shangri-la Frontier Vol. 6,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/shangri-la-frontier-vol-6
One Piece 3 Em 1 Vol. 9,"R$ 84,90","R$ 55,19",Disponível,Não,https://panini.com.br/one-piece-3-em-1-vol-9
Namorada De Aluguel Vol. 20,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-20
Undead Unluck Vol. 2,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/undead-unluck-vol-2
Mushoku Tensei: Uma Segunda Chance Vol. 8,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/mushoku-tensei-uma-segunda-chance-vol-8
Donzelas à Flor Da Pele Vol. 5,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/donzelas-a-flor-da-pele-vol-5
Mieruko-Chan Vol. 7,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/mieruko-chan-vol-7
Fire Force Vol. 33,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/fire-force-vol-33
Dorohedoro Vol. 18,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/dorohedoro-vol-18
Dr. Stone Vol. 26,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/dr-stone-vol-26
Komi Não Consegue Se Comunicar Vol. 11,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-11
Black Clover Vol. 31,"R$ 33,90","R$ 22,04",Avise-me,Não,https://panini.com.br/black-clover-vol-31
Kanojo Mo Kanojo - Confissões E Namoradas Vol. 6,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/kanojo-mo-kanojo-confissoes-e-namoradas-vol-6
Ataque Dos Titãs: Inside,"R$ 43,90","R$ 28,54",Disponível,Não,https://panini.com.br/ataque-dos-titas-inside
The Killer Inside Vol. 5,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/the-killer-inside-vol-5
Horimiya Vol. 14,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/horimiya-vol-14
